Company_ID,FS year,Cash & Bank,Inventory,Accounts Receivable,Investment,Total Current Assets,Total Assets,Accounts Payable,Short- term loans and finance lease liabilities,Total current Liabilities,Long- term loans and finance lease liabilities,Total Non-Current Assets,Total Liabilities,Capital,Total Equity,Total Liabilities & Equity,Net Revenue,COSG,Gross Profit,Profit from operations,Net profit before tax,Net profit after tax,Tangible Net Worth,Interest expenses
01,2024,"10,150",590,"53,429", -   ,"64,679","66,248","1,598", -   ,"108,351", -   , -   ,"108,351","17,656","-42,103","66,248","61,057",-63319.00,"-2,262","-14,353","-14,353","-14,353","-43,223",
02,2024,"6,150","5,912","9,552", -   ,"21,767","63,571","1,197","8,029","12,225", -   ,8,"12,233","35,000","51,338","63,571","70,771",-59378.00,"11,393","-5,863","-4,821","-4,821","51,201",440
03,2024,"101,876","147,476","115,182", -   ,"365,284","495,920","122,764", -   ,"269,972", -   ,"4,805","274,777","68,000","221,143","495,920","727,057",-654719.00,"72,338","42,684","45,668","39,269","220,928",
04,2024,"4,714","4,049","321,473", -   ,"337,746","342,685","336,846", -   ,"422,921", -   , -   ,"422,921","21,186","-80,236","342,685","112,761",-108526.00,"4,236",264,263,151,"-80,236", -   
05,2024,"20,598","11,230","51,878", -   ,"85,995","86,715","9,683",12,"21,090", -   , -   ,"21,090","1,831","65,625","86,715","165,422",-93609.00,"71,814","33,270","32,502","26,001","65,625", -   
06,2024,"73,910","67,721","85,385", -   ,"240,297","333,424","133,062","43,018","236,812", -   , -   ,"236,812","86,615","96,612","333,424","1,095,885",-1021476.00,"74,408","9,564","8,529","8,529","95,405",
07,2024,"18,597","299,153","1,253,716",192,"1,598,155","2,040,368","115,951","609,744","824,683",371,"6,466","831,149","280,000","1,209,219","2,040,368","1,264,192",-1096380.00,"167,812","9,098","9,306","2,262","1,203,811","15,830"
08,2024,"8,820","15,096","4,689", -   ,"28,604","37,981","1,318","5,519","14,442", -   , -   ,"14,442","21,000","23,539","37,981","38,001",-28520.00,"9,481",331,307,245,"23,539",
09,2024,"66,631","20,219","5,282", -   ,"92,132","95,199","67,347", -   ,"69,644", -   , -   ,"69,644","3,000","25,555","95,199","38,208",-31423.00,"6,785",472,"1,490","1,192","25,555",
10,2024,"55,909","438,400","17,442", -   ,"512,130","687,969","87,227", -   ,"813,745", -   , -   ,"813,745","314,769","-125,776","687,969","1,644,170",-1496360.00,"147,810","21,639","8,273","-31,618","-125,776", -   
11,2024,"35,768","35,872","15,397", -   ,"90,913","148,841","12,764","47,248","65,048","10,135","10,135","75,183","80,000","73,658","148,841","103,845",-77179.00,"26,665","7,261","7,062","5,618","73,313",
12,2024,"1,640","12,961","15,809", -   ,"30,522","39,022","3,082","19,964","34,288", -   , -   ,"34,288","34,457","4,734","39,023","177,969",-166352.00,"11,617","-1,039","-1,034",-952,"2,475",829
13,2024,"4,773","65,634","64,921","3,499","139,787","176,533","13,296","83,621","111,669","1,875","3,367","115,036","90,000","61,497","176,533","198,355",-163834.00,"34,520","-2,262",659,527,"50,513",
14,2024,"41,493",101,"41,773", -   ,"88,712","109,467","10,778","7,878","38,874",919,"1,247","40,121","77,038","69,347","109,467","110,672",-93090.00,"17,583","1,614",885,"-1,039","69,347",
15,2024,"163,243","567,582","582,368","65,000","1,470,906","2,598,679","414,172","840,065","1,400,409","389,433","483,033","1,883,442","500,000","715,237","2,598,679","3,630,694",-3189198.00,"441,496","151,997","171,443","134,112","573,647",
16,2024,"55,533","816,721","641,266", -   ,"1,524,458","1,729,926","282,770", -   ,"347,107", -   , -   ,"347,107","156,585","1,382,820","1,729,926","2,101,668",-1859497.00,"242,171","192,015","190,076","150,933","1,382,820", -   
17,2024,"29,653","506,743","1,720,913", -   ,"2,261,198","2,986,695","1,930,492", -   ,"2,006,626", -   ,"27,351","2,033,977","466,572","952,718","2,986,695","1,793,905",-1736756.00,"57,149","-53,747","-59,522","-70,988","952,708", -   
18,2024,"24,867","122,326","436,638", -   ,"610,071","1,029,047","37,061", -   ,"167,820","511,020","523,478","691,298","179,972","337,748","1,029,046","1,498,498",-1330108.00,"168,389","19,177","19,752","14,141","337,749","29,894"
19,2024,"281,141","178,913","90,571", -   ,"551,176","678,412","22,181", -   ,"59,631", -   , -   ,"59,631","15,066","618,781","678,412","980,936",-751864.00,"229,072","126,025","126,144","100,481","581,006",
20,2024,"131,540",36,"315,450",306,"447,331","2,180,157","5,048","58,129","121,400","637,759","699,037","820,436","353,603","1,359,721","2,180,157","315,999",-21568.00,"294,430","240,663","245,261","195,957","519,928",
21,2024,"2,206","21,882","20,283", -   ,"49,455","85,079","6,404", -   ,"15,343", -   , -   ,"15,343","67,942","69,736","85,078","261,894",-247638.00,"14,256","1,061","1,095","1,095","68,702", -   
22,2024,"10,793","3,954","9,822","1,000","25,905","110,746",788, -   ,"16,935","10,000","16,165","33,100","100,000","77,647","110,747","72,147",-44425.00,"27,722","2,638","2,863","2,863","77,646","1,591"
23,2024,"7,186","2,719","9,384","2,600","22,435","29,267",203, -   ,"4,277", -   , -   ,"4,277","18,000","24,990","29,267","43,445",-36589.00,"6,855","3,525","3,511","2,806","24,990", -   
24,2024,560,"56,107","143,369", -   ,"200,067","200,067","21,343","189,825","211,390", -   , -   ,"211,390","50,000","-11,324","200,067","2,060",-3757.00,"-1,697","-2,379","-2,206","-2,206","-11,324",
25,2024,"5,084","16,608","22,632", -   ,"49,974","80,126","19,611","18,164","38,987","2,915","2,915","41,902","41,763","38,225","80,126","92,962",-82576.00,"10,387",481,481,237,"29,089","1,110"
26,2024,"1,623",413,"2,341", -   ,"4,377","116,336","7,890","44,656","66,409", -   , -   ,"66,409","50,000","49,927","116,336","57,672",-49999.00,"7,674","1,584","1,587","1,269","49,646",
27,2024,835,"1,333","15,846", -   ,"18,029","18,872","9,308","1,932","13,382", -   , -   ,"13,382","5,000","5,490","18,872","61,689",-55978.00,"5,711",108,106,84,"5,490",
28,2024,"4,495","12,746","8,302","12,000","37,542","46,398","11,691","13,700","25,529", -   , -   ,"25,529","20,000","20,870","46,398","37,355",-36407.00,948,293,39,31,"20,869",
29,2024,"13,858","26,210","68,355", -   ,"137,254","522,769","29,751","86,755","121,045","99,858","154,652","275,696","225,000","247,073","522,769","322,588",-279699.00,"42,890","6,568","10,571","7,923","238,556","12,220"
30,2024,"128,829","65,881","133,658", -   ,"337,858","465,654","49,752","215,065","297,711", -   , -   ,"297,711","120,000","167,944","465,654","658,105",-532663.00,"125,441","32,433","35,239","28,191","146,147",
31,2024,"11,549","8,693","188,012", -   ,"208,474","294,464",62, -   ,"93,212", -   , -   ,"93,212","10,000","201,252","294,464","219,453",-155152.00,"64,302","15,252","15,682","12,538","201,252", -   
32,2024,"3,508","112,691","22,969", -   ,"140,342","178,655","10,012","61,182","74,885","1,664","2,000","76,885","208,000","101,769","178,654","171,234",-92510.00,"78,725","4,958","4,944","3,942","101,371",
33,2024,460,"10,902","67,157", -   ,"81,689","100,553","54,502",7,"93,046", -   , -   ,"93,046","16,146","7,507","100,553","236,116",-223914.00,"12,202","-12,833","-12,717","-12,717","7,507", -   
34,2024,"32,718","4,903","25,678", -   ,"64,031","93,549","2,597", -   ,"18,742", -   , -   ,"18,742","43,376","74,806","93,549","136,006",-124079.00,"11,927","3,313","3,313","2,662","74,146", -   
35,2024,"8,569","94,262","52,388", -   ,"163,012","285,429","35,647", -   ,"115,652", -   , -   ,"115,652","279,343","169,776","285,428","540,172",-475068.00,"65,105","19,243","19,568","19,568","169,733","1,054"
36,2024,"1,263","10,475","4,305", -   ,"16,154","17,366",677, -   ,630, -   , -   ,630,"14,000","16,736","17,366","24,988",-21752.00,"3,236",-242,-239,-239,"16,736",
37,2024,"5,330","11,718","61,199", -   ,"88,810","134,563","18,898","142,725","170,659", -   , -   ,"170,659","14,392","-36,096","134,563","130,346",-110561.00,"19,785","-3,494","-3,844","-3,844","-36,096",
38,2024,"1,256","3,365",145, -   ,"5,218","25,788",593, -   ,"18,954", -   , -   ,"18,954","43,025","6,834","25,788","84,387",-70525.00,"13,862","4,545","3,923","3,923","6,834", -   
39,2024,"18,685", -   ,152, -   ,"19,025","20,888", -   , -   ,63, -   , -   ,63,"18,000","20,825","20,888","33,008",-31796.00,"1,212","-1,172",-323,-323,"20,825",
40,2024,"33,781","45,362","121,191","16,500","299,202","1,077,956","64,300","84,113","278,943","376,435","376,638","655,581","120,000","422,375","1,077,956","403,112",-301121.00,"101,992","77,723","77,835","62,333","420,604",
41,2024,"31,540","5,918","235,306","55,360","329,380","804,076","6,322", -   ,"53,413", -   ,"19,850","73,264","600,000","730,812","804,076","183,219",-133088.00,"50,131","19,463","18,624","14,673","730,375","1,843"
42,2024,"16,533","32,395","189,081", -   ,"244,189","460,515","10,663", -   ,"41,244","68,988","71,420","112,663","48,171","347,852","460,515","569,809",-513643.00,"56,166","31,958","32,371","26,765","347,150",366
43,2024,"35,504","24,916","19,371", -   ,"83,264","84,895","5,788", -   ,"12,735", -   , -   ,"12,735","91,493","72,160","84,895","234,255",-218299.00,"15,956","10,485","10,667","10,486","72,160", -   
44,2024,"102,175","2,198","38,750", -   ,"143,535","143,535","51,855", -   ,"104,679", -   , -   ,"104,679","39,000","38,857","143,535","33,698",-33524.00,174,6,5,4,"38,857",
45,2024,"121,109","4,095","64,084","141,500","331,710","363,679","5,451", -   ,"150,777", -   , -   ,"150,777","49,962","212,902","363,679","488,149",-423576.00,"64,573","64,163","64,327","52,468","207,899", -   
46,2024,"13,430","18,590","6,095", -   ,"50,069","54,300","32,786", -   ,"47,638", -   , -   ,"47,638","14,474","6,662","54,300","335,030",-286201.00,"48,828",944,"-1,672","-1,936","6,662",
47,2024,512,"44,785","166,760",90,"212,324","449,900", -   , -   ,"119,469","166,756","166,756","286,225","170,000","163,676","449,900","41,100",-32727.00,"8,373","-2,493","-2,493","-2,493","163,676",
48,2024,"11,719","22,564","1,008", -   ,"36,155","38,149","5,264", -   ,"14,377", -   , -   ,"14,377","26,358","23,772","38,149","150,553",-125922.00,"24,631","9,298","8,847","6,632","23,772", -   
49,2024,"26,691","75,609","99,172", -   ,"214,646","350,980","32,398","108,997","178,933", -   , -   ,"178,933","166,100","172,047","350,980","428,424",-397719.00,"30,706","7,448","7,436","5,947","172,047",
50,2024,"28,669","563,039","219,758", -   ,"933,902","997,484","431,467","501,816","943,163","4,672","4,672","947,835","47,811","49,650","997,485","1,845,432",-1804145.00,"41,287",655,"1,060",847,"35,120","27,015"
51,2024,"20,171", -   ,"6,881", -   ,"27,244","37,343",162, -   ,"1,800", -   , -   ,"1,800","3,082","35,542","37,343","31,053",-9557.00,"21,495","12,710","11,973","9,439","35,542", -   
52,2024,"42,635","388,232","272,331", -   ,"708,896","844,490","35,072", -   ,"66,670", -   , -   ,"66,670","135,771","777,820","844,490","1,261,312",-1114954.00,"146,358","58,568","54,459","46,261","777,820", -   
53,2024,412,"1,528",38, -   ,"2,040","4,148",530,"2,730","11,130", -   , -   ,"11,130","4,703","-6,982","4,148","50,007",-40712.00,"9,295","-2,285","-1,804","-1,804","-6,982", -   
54,2024,"4,053",559,"3,922", -   ,"8,840","11,633",996, -   ,"4,407", -   , -   ,"4,407","23,575","7,226","11,633","21,273",-14638.00,"6,635","2,139","1,904","1,904","7,226", -   
55,2024,835,"69,072","250,493", -   ,"321,563","470,643","7,186","46,251","64,604", -   , -   ,"64,604","448,300","406,039","470,643","334,316",-322481.00,"11,835","-20,020","-16,011","-13,556","405,972","2,299"
56,2024,"1,113","17,780","6,459", -   ,"31,315","552,680","3,367","18,213","36,795", -   ,"386,147","422,942","90,485","129,738","552,680","6,213",-5469.00,744,"-1,126",135,84,"127,722",
57,2024,221,"47,321","25,190", -   ,"72,732","89,004","22,908","35,670","58,960", -   , -   ,"58,960","25,000","30,043","89,004","121,126",-102728.00,"18,398",288,291,228,"30,043",
58,2024,678,"15,600","9,912", -   ,"26,190","37,452",149,"25,000","25,149", -   , -   ,"25,149","12,000","12,303","37,452","43,725",-38920.00,"4,805",48,48,39,"12,303",
59,2024,"18,624","22,444","103,978", -   ,"145,753","147,236","140,253", -   ,"141,555", -   , -   ,"141,555","5,000","5,682","147,237","81,071",-71994.00,"9,077",142,147,117,"5,681",
60,2024,"14,066","13,617","7,044", -   ,"34,726","37,810","4,685","2,400","7,105", -   , -   ,"7,105","30,000","30,705","37,810","29,549",-29018.00,530,-108,-116,-116,"30,705",
61,2024,470,"37,101","16,224", -   ,"53,894","91,865","7,866","24,212","51,391","11,609","35,078","86,469","16,000","5,396","91,865","46,247",-39096.00,"7,151",-995,299,299,"5,396",
62,2024,"17,875","15,096","32,001", -   ,"65,284","139,552","7,210", -   ,"86,300", -   , -   ,"86,300","20,000","53,252","139,552","204,931",-174537.00,"30,394","7,193","8,412","8,412","52,953", -   
63,2024,939,"38,722","106,939", -   ,"154,774","157,073","15,657","111,619","129,838", -   , -   ,"129,838","26,600","27,235","157,073","153,953",-114471.00,"39,482","16,569",469,300,"27,235", -   
64,2024,"12,438","46,171","56,049", -   ,"119,895","124,422","41,371","24,816","74,120", -   , -   ,"74,120","20,000","50,302","124,422","338,074",-306944.00,"31,130","1,427","1,296","1,004","50,302",
65,2024,"1,019","20,474","6,362", -   ,"29,368","39,247","14,466", -   ,"14,524","8,788","8,788","23,312", -   ,"15,935","39,247","75,872",-73258.00,"2,614","1,057","1,148",918,"15,935",
66,2024,"23,211",760,"40,657", -   ,"69,714","77,205", -   , -   ,"2,575", -   , -   ,"2,575","50,000","74,629","77,205","2,819",-1862.00,957,"-2,280","-1,854","-1,854","74,630",
67,2024,"45,289","3,581","75,456", -   ,"153,870","175,494","99,519", -   ,"154,136", -   , -   ,"154,136","22,659","21,358","175,494","720,908",-605913.00,"114,996","26,822","27,208","21,981","21,327", -   
68,2024,"4,127","6,216","15,943", -   ,"32,522","456,404","30,720","35,446","79,700","68,635","75,065","154,765","1,146,932","301,640","456,404","225,374",-203438.00,"21,935","-11,907","-8,443","-9,213","299,589","6,858"
69,2024,"6,594","334,176","122,237", -   ,"501,019","626,888","110,910","190,275","337,110", -   ,"2,878","339,988","328,454","286,900","626,888","612,314",-560572.00,"51,742","3,579","7,469",548,"280,726","7,867"
70,2024,"35,284","1,162","1,777", -   ,"38,467","79,312",824, -   ,"85,034", -   , -   ,"85,034","243,722","-5,723","79,311","180,207",-163883.00,"16,323","-47,381",550,203,"-10,387", -   
71,2024,"14,639","24,120","41,182", -   ,"174,358","252,130","29,660","353,980","1,607,771","122,829","122,829","1,730,600","145,445","-1,478,469","252,130","473,093",-484126.00,"-11,033","-137,556","-124,317","-133,012","-1,478,469","1,981"
72,2024,"17,168","5,945","29,370","51,000","103,717","179,957","7,192","20,240","82,726", -   , -   ,"82,726","80,000","97,232","179,957","213,519",-154124.00,"59,395","16,146","17,317","13,615","97,232",942
73,2024,"29,270","106,267","157,490", -   ,"294,026","314,828","3,921","187,007","206,776", -   , -   ,"206,776","33,000","108,052","314,828","163,526",-140995.00,"22,531",-247,-120,-120,"108,052",
74,2024,"39,252","942,422","93,658", -   ,"1,078,869","1,162,706","7,139","889,985","897,465", -   , -   ,"897,465","200,000","265,241","1,162,706","2,420,571",-2265798.00,"154,774","6,473","6,141","4,848","262,606","58,716"
75,2024,"21,452","130,005","37,578","7,000","196,036","273,046","20,508", -   ,"72,615", -   , -   ,"72,615","100,000","200,432","273,046","849,304",-746788.00,"102,517","58,152","62,259","49,807","200,432",
76,2024,"1,650","505,209","70,013", -   ,"576,913","1,856,207","475,275", -   ,"488,996", -   , -   ,"488,996","1,202,502","1,367,211","1,856,207","1,649,373",-1591018.00,"58,355","56,928","57,756","49,997","1,367,211","2,314"
77,2024,72,"9,765","13,614", -   ,"25,546","28,292","22,649","35,300","112,085", -   , -   ,"112,085","33,000","-83,794","28,291","87,278",-89057.00,"-1,780","-4,110",-384,-384,"-83,794",
78,2024,336,143,"13,261", -   ,"14,522","20,838",17, -   ,"5,651", -   , -   ,"5,651","10,000","15,187","20,838","29,138",-21312.00,"7,826","3,302","4,378","4,378","15,142", -   
79,2024,715,"3,392","2,931", -   ,"7,038","7,288","1,305","5,685","6,991", -   , -   ,"6,991","1,000",298,"7,288","16,318",-15141.00,"1,177",88,95,95,298,
80,2024,"11,852","36,218","20,590", -   ,"71,125","103,895","7,405","2,280","16,678","8,038","8,038","24,716","12,352","79,179","103,895","150,117",-138008.00,"12,109","4,317","4,275","4,275","79,179", -   
81,2024,"18,207","7,441","5,006", -   ,"31,431","46,689","2,365","14,600","54,025", -   , -   ,"54,025","115,900","-7,335","46,690","226,374",-215270.00,"11,103",-145,-45,-45,"-7,335",544
82,2024,438,"29,704","13,101", -   ,"44,782","45,953","3,025","31,757","37,096", -   , -   ,"37,096","10,000","8,856","45,953","91,936",-88804.00,"3,133",-216,-323,-323,"8,856",
83,2024,"52,645","14,540","24,011","5,000","106,529","230,422","3,144", -   ,"32,898", -   , -   ,"32,898","150,000","197,524","230,422","281,778",-218423.00,"63,355","42,979","44,387","35,524","197,524", -   
84,2024,"9,782",392,"869,283","52,032","943,726","2,146,007","43,530","7,150","305,712","15,600","1,438,301","1,744,013","570,000","401,994","2,146,007","1,239,243",-1254616.00,"-15,374","-47,327","-47,296","-47,296","401,994",
85,2024,402,"34,629","28,119", -   ,"65,471","77,614","63,829","71,814","170,499", -   ,272,"170,772","155,946","-93,158","77,614","159,090",-75296.00,"83,793","-41,512","-39,335","-39,335","-94,401", -   
86,2024,777,"117,966","281,440", -   ,"400,182","401,457","24,303","333,872","361,925", -   , -   ,"361,925","50,000","39,531","401,457","47,911",-39821.00,"8,091",339,64,51,"39,531",
87,2024,"12,834","171,404","45,186", -   ,"239,622","307,433","23,670","115,260","213,443", -   ,104,"213,547","156,788","93,887","307,433","255,217",-215499.00,"39,718","-2,384","-2,717","-3,020","93,887",
88,2024,940,"15,961","24,350", -   ,"41,583","41,952","1,800", -   ,"1,800", -   ,"35,486","37,286","3,700","4,666","41,952","19,128",-17612.00,"1,516",174,174,139,"4,666",
89,2024,"26,287","225,592","99,791","16,000","399,688","686,392","84,305","305,991","405,818","11,430","12,038","417,856","260,000","268,536","686,392","755,442",-720390.00,"35,052","3,778","3,993","1,835","187,913",
90,2024,"22,376","3,102","7,487", -   ,"32,965","34,764","3,437","6,515","10,182", -   , -   ,"10,182","25,000","24,582","34,764","41,887",-39085.00,"2,803",19,19,15,"24,582",
91,2024,841,"11,157","1,928", -   ,"13,950","26,591",582,"15,195","23,269", -   , -   ,"23,269","39,000","3,323","26,591","23,500",-10542.00,"12,958","-3,996","-5,767","-5,767","3,323",
92,2024,"7,774","34,024","287,162", -   ,"329,936","549,186","61,288", -   ,"206,080", -   , -   ,"206,080","142,620","343,105","549,186","1,945,372",-1542494.00,"402,878","124,784","125,472","104,683","317,753", -   
93,2024,"25,137","5,076","6,840", -   ,"41,469","41,469","5,045", -   ,"14,349", -   , -   ,"14,349","25,000","27,120","41,469","96,483",-91083.00,"5,400",210,-816,-871,"27,120",
94,2024,"1,004,605","3,217,896","2,605,637","2,470,361","9,551,569","19,265,850","1,258,591","4,040,032","7,066,894","2,372,226","2,922,615","9,989,509","5,000,000","9,276,342","19,265,851","17,325,827",-15450852.00,"1,874,975","803,911","835,092","655,438","9,183,823","339,634"
95,2024,"16,298","71,843","43,040", -   ,"147,958","151,984","26,800","16,257","47,827", -   ,"64,153","111,980","6,000","40,005","151,984","235,097",-176973.00,"58,125","19,986","19,986","15,989","40,005","3,770"
96,2024,"12,181","8,503","4,237", -   ,"24,933","24,975","4,803","7,300","14,347", -   , -   ,"14,347","10,000","10,628","24,975","35,199",-32726.00,"2,473",247,246,166,"10,628",586
97,2024,"2,671","4,623","3,950","20,000","31,371","73,403",105, -   ,"6,886", -   ,"71,379","78,265","30,000","-4,862","73,403","35,497",-16843.00,"18,654",197,200,200,"-15,608",
98,2024,"1,503","4,810","14,331", -   ,"20,643","21,539","6,519","3,181","10,402", -   , -   ,"10,402","6,000","11,137","21,539","59,623",-47299.00,"12,324","1,090","1,087",858,"11,137",
99,2024,"306,890","53,770","2,816,948", -   ,"3,177,765","7,497,317","6,784","1,401,500","2,481,368", -   ,"1,044,393","3,525,760","3,960,000","3,971,557","7,497,317","1,005,417",-974140.00,"31,277","-3,999","3,077","2,462","3,958,377","8,396"
100,2024,"94,373","2,391","4,839", -   ,"102,261","108,156","1,018", -   ,"113,704", -   ,206,"113,910","26,000","-5,754","108,156","132,806",-114982.00,"17,824","3,436","1,473","1,179","-5,754",
101,2024,"47,985","76,924","87,228","40,000","253,048","416,266","89,532","144,091","242,881", -   ,"5,925","248,806","109,356","167,461","416,266","476,874",-448529.00,"28,345","-9,415","-3,690","-3,690","139,019","3,362"
102,2024,513,"13,837","97,346", -   ,"114,900","126,713","22,982","60,569","92,197", -   , -   ,"92,197","42,000","34,516","126,713","132,462",-118516.00,"13,947",684,765,216,"34,516",
103,2024,"1,123","203,582","1,331", -   ,"205,440","229,296","7,655","114,060","172,085","123,099","131,512","303,597","65,000","-74,300","229,297","246,097",-212018.00,"34,079","-43,952","-46,277","-46,277","-74,301",
104,2024,"53,921","225,327","48,285","145,442","486,271","1,205,646","123,448","319,034","508,102","306,417","312,053","820,155","205,000","385,491","1,205,646","1,114,886",-1060128.00,"54,758","-82,278","-72,954","-78,260","385,424","39,083"
105,2024,"7,129","9,122","12,849",404,"29,681","29,994","7,613", -   ,"9,140", -   , -   ,"9,140","20,000","20,854","29,994","21,629",-16328.00,"5,301","-1,905","-1,911","-1,911","20,854",
106,2024,"17,699","2,078","82,615","10,127","117,122","132,874","18,949","36,102","114,070","2,227","2,227","116,296","21,000","16,578","132,874","145,369",-142294.00,"3,074",-401,77,62,"16,567",
107,2024,"4,983","26,749","29,441", -   ,"61,305","64,857","8,532","43,337","52,261", -   , -   ,"52,261","15,000","12,596","64,857","59,094",-54193.00,"4,902",-46,-46,-90,"12,596",
108,2024,"15,693","48,112","247,724",288,"328,701","449,118","134,837","9,993","201,741", -   , -   ,"201,741","276,873","247,378","449,118","1,037,348",-917534.00,"119,815","40,018","59,058","59,058","244,286",277
109,2024,"8,071","1,061","43,354", -   ,"52,721","110,704","20,016","8,734","62,703","27,419","27,419","90,122","23,469","20,582","110,704","119,409",-85519.00,"33,890","20,700","19,248","15,067","20,582","2,509"
110,2024,"2,089",527,"24,349", -   ,"27,209","27,872", -   ,"6,404","28,704", -   , -   ,"28,704","4,500",-832,"27,872","28,560",-27550.00,"1,011",-981,-996,-996,-832,
111,2024,"10,536","146,565","44,736", -   ,"217,089","262,088","39,753","122,184","215,862", -   , -   ,"215,862","45,000","46,226","262,088","96,854",-74044.00,"22,810",291,-111,-186,"46,226",
112,2024,"1,773","13,975","21,037", -   ,"36,786","39,260","5,470", -   ,"35,999", -   , -   ,"35,999","1,000","3,261","39,260","35,218",-34606.00,613,197,197,158,"3,261",
113,2024,978,"3,821","1,122",11,"6,266","7,487","1,250","5,040","6,592", -   , -   ,"6,592","4,000",896,"7,487","22,663",-19390.00,"3,273",64,210,154,896,
114,2024,"13,796","1,457","18,709", -   ,"33,962","37,604","1,726","23,974","25,801", -   , -   ,"25,801","9,000","11,802","37,604","93,274",-91396.00,"1,878",366,366,292,"11,802",
115,2024,"3,756","17,213","23,331", -   ,"45,129","48,141","4,184","17,061","21,700", -   , -   ,"21,700","29,000","26,441","48,141","49,319",-46036.00,"3,283",403,284,284,"26,441",
116,2024,930,310,"8,486", -   ,"9,973","23,113","1,459","98,166","144,657", -   ,"2,046","146,702","55,000","-123,589","23,113","38,281",-19045.00,"19,236","3,411","3,458","3,472","-123,589","4,543"
117,2024,"38,233","298,908","103,988","128,988","578,499","755,723","220,475","107,082","340,645", -   , -   ,"340,645","677,582","415,079","755,724","831,082",-798805.00,"32,277","-28,938","-24,363","-24,363","409,672",
118,2024,"9,326","23,258","28,253", -   ,"64,656","74,056","16,883","31,233","56,113", -   , -   ,"56,113","15,000","17,943","74,056","168,750",-155290.00,"13,461","4,127",739,480,"13,957","1,800"
119,2024,"276,326","444,742","501,463", -   ,"1,253,612","1,462,391","359,292","397,737","904,422", -   ,"46,871","951,293","128,081","511,098","1,462,391","2,087,853",-1700098.00,"387,754","81,533","82,303","65,597","508,469","15,096"
120,2024,"16,904","3,543","54,536", -   ,"75,111","75,517","33,332", -   ,"36,126", -   , -   ,"36,126","25,000","39,391","75,517","60,861",-45073.00,"15,788","10,133","10,133","8,107","39,391",
121,2024,"31,929","7,235","33,689", -   ,"74,011","92,314","5,848","15,331","56,993", -   , -   ,"56,993","16,000","35,320","92,314","369,351",-327699.00,"41,652","9,248","8,902","7,075","35,320",612
122,2024,"1,304","24,983","88,387", -   ,"124,495","178,851","2,153","75,325","92,485", -   ,961,"93,446","44,038","85,405","178,851","148,833",-113309.00,"35,524","10,065","10,065","8,052","85,405",
123,2024,"14,330","12,686","7,375", -   ,"35,001","35,001","4,698","19,575","24,410", -   , -   ,"24,410","11,500","10,591","35,000","2,711",-2263.00,448,"-3,616","-3,617","-3,626","10,591",
124,2024,"143,719","1,525","22,892", -   ,"169,477","190,741","17,892","42,500","78,044","3,784","4,417","82,461","60,000","108,281","190,742","262,839",-221236.00,"41,603","32,342","32,553","26,042","108,280",
125,2024,"3,111",500,"34,748", -   ,"38,404","61,205","20,781", -   ,"66,421", -   , -   ,"66,421","48,336","-5,216","61,205","90,107",-79430.00,"10,678","3,241","3,244","3,244","-7,792", -   
126,2024,"14,688", -   ,"18,707", -   ,"33,394","36,633","11,382", -   ,"19,078", -   , -   ,"19,078","20,000","17,554","36,633","175,748",-153435.00,"22,313","1,000",-583,-789,"17,555",
127,2024,"51,159","42,260","20,889", -   ,"114,308","130,055","2,671", -   ,"52,790", -   ,"4,207","56,997","14,000","73,059","130,055","258,333",-217592.00,"40,741","13,530","13,681","10,941","69,438",
128,2024,"240,924","1,403,677","318,074", -   ,"1,991,835","2,907,883","80,518","754,618","1,102,772","361,708","361,708","1,464,480","700,000","1,443,403","2,907,883","2,316,408",-1040144.00,"1,276,263","491,518","481,428","385,142","889,678",
129,2024,"10,613","15,134","75,269", -   ,"122,100","141,006","50,733","60,981","122,966", -   , -   ,"122,966","93,672","18,041","141,006","343,139",-307443.00,"35,696","5,128","5,308","4,337","18,041","2,557"
130,2024,"19,043","470,614","162,967", -   ,"656,636","860,575","19,881","165,971","211,666","2,028","2,028","213,694","568,814","646,880","860,574","411,624",-355488.00,"56,136","10,679","9,575","6,856","637,319","11,875"
131,2024,"32,721","4,797","11,394", -   ,"49,833","61,371", -   , -   ,"16,772", -   , -   ,"16,772","29,360","44,598","61,370","98,352",-83760.00,"14,592","8,557","7,851","6,097","44,599",
132,2024,"13,755","29,207",302, -   ,"44,351","113,650","8,407", -   ,"39,746","25,296","25,296","65,041","33,489","48,609","113,650","145,085",-120500.00,"24,585","4,230","4,339","3,523","48,437","1,737"
133,2024,"8,613","6,250","25,540","1,711","42,435","50,190",512, -   ,"8,429", -   ,206,"8,635","15,353","41,554","50,189","78,734",-63141.00,"15,593","7,095","7,092","5,841","38,639", -   
134,2024,"231,086","178,245","75,130",400,"498,602","689,073","189,113","2,772","381,279","10,487","18,099","399,378","172,500","289,695","689,073","1,301,770",-1062229.00,"239,541","57,600","57,556","45,224","278,559", -   
135,2024,"11,423", -   ,"9,703", -   ,"21,183","21,183","8,621","4,100","22,327", -   , -   ,"22,327","2,000","-1,144","21,183","20,990",-18895.00,"2,095",-110,-110,-110,"-1,144",
136,2024,"2,088","87,200","52,350","3,500","145,652","261,333","44,636","117,443","179,587","19,270","28,470","208,057","70,000","53,276","261,333","292,586",-290179.00,"2,407","-24,235","-19,846","-19,846","53,276","9,557"
