Company_ID,FS year,Cash & Bank,Inventory,Accounts Receivable,Investment,Total Current Assets,Total Assets,Accounts Payable,Short- term loans and finance lease liabilities,Total current Liabilities,Long- term loans and finance lease liabilities,Total Non-Current Assets,Total Liabilities,Capital,Total Equity,Total Liabilities & Equity,Net Revenue,COSG,Gross Profit,Profit from operations,Net profit before tax,Net profit after tax,Tangible Net Worth,Interest expenses
380,2024,"5,744","150,972","251,120", -   ,"409,463","556,314","15,667","19,998","388,717","444,744","444,744","833,461","56,215","-277,147","556,314","602,395",-555038.00,"47,358","-7,075","-11,061","-11,061","-277,619","1,935"
381,2024,"1,829", -   ,"3,048", -   ,"10,684","10,684","2,154", -   ,"6,911", -   ,7,"6,917","2,000","3,767","10,684","31,577",-26011.00,"5,566","1,284","1,284","1,284","3,767",
382,2024,"44,601","192,058","219,210", -   ,"587,305","1,089,878","303,294","396,466","810,213", -   ,"174,874","985,087","220,979","104,791","1,089,878","701,458",-665269.00,"36,188","2,355","2,233","2,233","78,647", -   
383,2024,"75,169","5,502","9,118", -   ,"91,060","102,113","20,237","73,496","96,257", -   , -   ,"96,257","12,000","5,855","102,112","113,223",-110192.00,"3,032","-1,693","-1,689","-1,689","5,855","1,695"
384,2024,"5,859","10,220","35,346", -   ,"59,945","70,682","30,476", -   ,"36,537", -   , -   ,"36,537","38,683","34,145","70,682","171,882",-166304.00,"5,577","-7,356","-7,435","-7,438","34,144", -   
385,2024,"17,503","120,387","464,268", -   ,"609,251","1,025,645","18,596","51,102","150,764", -   , -   ,"150,764","965,523","874,880","1,025,645","961,591",-831102.00,"130,489","20,765","26,375","23,488","874,880","3,446"
386,2024,"29,775","235,966","562,760", -   ,"865,922","1,073,146","24,406", -   ,"80,912", -   ,"1,231","82,143","173,710","991,004","1,073,146","1,565,646",-1226684.00,"338,962","287,073","297,063","235,562","990,799", -   
387,2024,385,710,206, -   ,"1,301","16,874",957,"7,107","12,227", -   , -   ,"12,227","3,400","4,647","16,874","44,484",-38075.00,"6,409",-307,284,157,"4,647",
388,2024,"13,424","661,918","755,250","67,800","1,510,149","2,588,345","591,487","928,981","1,601,595", -   , -   ,"1,601,595","894,138","986,750","2,588,345","1,799,960",-1631720.00,"168,241","16,512","17,558","17,558","986,587","49,710"
389,2024,"12,373",293,"8,899","3,500","35,965","83,476","3,776", -   ,"19,822", -   , -   ,"19,822","42,474","63,654","83,476","91,925",-67528.00,"24,397","13,328","13,605","10,884","63,654", -   
390,2024,"1,126","63,540","204,310", -   ,"270,238","308,342","30,719","144,856","268,256",936,936,"269,193","38,800","39,149","308,342","258,416",-237048.00,"21,368","3,244","1,799",47,"39,149","9,910"
391,2024,"25,565","10,610","29,704", -   ,"69,631","130,905","2,123","47,878","65,392","1,443","19,779","85,171","43,383","45,734","130,905","151,839",-115640.00,"36,199","5,844","4,262","3,570","42,271",
392,2024,"22,213","91,321","156,040", -   ,"271,621","420,165","63,873","122,504","214,024","2,237","3,296","217,320","203,412","202,845","420,165","531,675",-537629.00,"-5,954","-65,900","-45,463","-45,463","202,663","6,048"
393,2024,"9,605","35,685","9,209","66,156","120,846","132,254","4,425","14,391","27,237", -   , -   ,"27,237","18,949","105,017","132,254","147,833",-106349.00,"41,484","27,593","28,522","23,016","105,017", -   
394,2024,"4,320","100,539","33,286", -   ,"166,152","255,744","5,392","128,225","179,485", -   , -   ,"179,485","135,000","76,259","255,744","182,752",-103576.00,"79,176","-2,694",745,745,"74,731",
395,2024,"16,332","4,807","5,694", -   ,"29,135","29,236","3,891",8,"4,292", -   , -   ,"4,292","5,000","24,944","29,236","19,510",-16450.00,"3,060",-667,"30,691","24,551","24,944",
396,2024,"254,235","349,358","5,242,607", -   ,"5,857,980","6,914,952","4,703,214","671,782","5,674,921","1,022,040","1,029,237","6,704,158","271,412","210,794","6,914,952","2,944,308",-2504917.00,"439,391","125,301","135,044","103,302","111,812","28,044"
397,2024,"245,166","254,651","151,600", -   ,"699,605","793,171","78,474", -   ,"131,331", -   ,"1,221","132,551","126,369","660,620","793,171","1,205,807",-978982.00,"226,825","178,516","184,597","144,588","660,377", -   
398,2024,512,"7,925","14,339", -   ,"23,832","33,324","6,693","14,742","23,611", -   , -   ,"23,611","3,832","9,713","33,324","104,142",-83625.00,"20,517","3,821","3,825","3,060","9,713",907
399,2024,"102,634","11,405","37,690","3,000","159,406","249,184","3,255", -   ,"35,061", -   , -   ,"35,061","247,536","214,123","249,183","245,078",-187147.00,"57,932","42,140","42,131","34,029","213,217", -   
400,2024,"1,186","6,819","77,336",238,"85,668","131,817",221,270,"15,951", -   , -   ,"15,951","65,000","115,866","131,817","96,915",-78223.00,"18,691","13,652","13,617","13,277","115,866", -   
401,2024,"42,445","137,590","81,036", -   ,"264,668","508,376","74,990","374,636","464,300", -   , -   ,"464,300","467,844","44,076","508,377","542,624",-460273.00,"82,352","18,385","21,106","21,106","43,520","12,184"
402,2024,"59,554","34,553","148,146",300,"247,793","359,773","27,177","159,356","230,681","8,707","8,707","239,388","30,000","120,386","359,773","497,454",-424533.00,"72,920","13,720","14,616","12,067","117,886","7,661"
403,2024,"229,875","3,894","38,580",250,"291,667","299,501","10,171", -   ,"46,913", -   , -   ,"46,913","14,189","252,588","299,501","149,686",-92437.00,"57,249","49,388","49,289","39,034","252,588", -   
404,2024,"1,464","1,931","75,271", -   ,"78,667","135,868","12,612","16,245","43,313","62,632","62,632","105,946","20,000","29,922","135,868","86,900",-50028.00,"36,872","30,862","30,955","27,817","29,922",
405,2024,"22,942","3,348","23,450","92,877","144,539","183,534","10,686","42,634","113,737", -   , -   ,"113,737","40,841","69,798","183,534","187,193",-163211.00,"23,982","18,503","18,434","14,792","69,798","1,020"
406,2024,"9,629","5,283","5,020","2,000","23,823","31,885","10,398", -   ,"13,747", -   ,252,"13,999","16,000","17,886","31,885","52,411",-37672.00,"14,740","3,450","3,539","2,786","17,847", -   
407,2024,837,"7,868","51,159", -   ,"59,882","76,613","32,096","10,000","145,936", -   , -   ,"145,936","36,000","-69,323","76,613","127,642",-104167.00,"23,476","5,930","4,841","3,404","-69,416",
408,2024,"32,708","6,436","46,423", -   ,"88,169","103,018",578, -   ,"10,993", -   , -   ,"10,993","37,318","92,026","103,018","129,011",-104556.00,"24,455","19,811","23,356","18,888","92,026", -   
409,2024,"1,384","8,897","1,445", -   ,"12,091","14,844",113,"3,844","4,656", -   , -   ,"4,656","9,900","10,188","14,844","20,358",-16936.00,"3,422",-402,-402,-434,"10,188",
410,2024,"12,030","5,449","6,503","8,000","34,387","35,576","2,050", -   ,"5,908", -   ,5,"5,913","30,000","29,663","35,576","52,549",-42580.00,"9,969",-440,-979,-979,"29,663",
411,2024,"1,733","9,763","2,183", -   ,"15,323","18,221","10,619", -   ,"130,327", -   ,"26,777","157,104","89,180","-138,883","18,221","117,230",-121197.00,"-3,967","-16,661","-16,553","-17,246","-138,883", -   
412,2024,"23,541","28,482","95,067", -   ,"156,330","173,754","3,161","16,580","28,694", -   , -   ,"28,694","14,612","145,060","173,754","156,420",-125581.00,"30,839","12,374","12,539","8,576","145,060",169
413,2024,"3,563","30,488","26,036", -   ,"60,206","61,904","7,824","2,970","16,874","10,120","10,120","26,994","18,000","34,910","61,904","210,910",-167818.00,"43,093","18,503","18,685","14,948","34,910",
414,2024,"56,921","355,736","77,786", -   ,"538,566","606,678","216,768", -   ,"501,736", -   , -   ,"501,736","123,835","104,943","606,678","2,021,065",-1877535.00,"143,530","27,311","27,034","19,886","104,867", -   
415,2024,"8,846", -   ,"42,370","7,700","61,245","1,142,516",114, -   ,"3,513","194,101","194,101","197,615","532,550","944,902","1,142,516","47,424",-20135.00,"27,289","79,248","78,920","78,154","944,902","15,803"
416,2024,"6,254","9,724","76,813", -   ,"92,902","350,768","8,974","9,060","32,691","128,611","186,386","219,077","196,927","131,691","350,768","63,895",-32692.00,"31,203","11,648","4,198","1,834","117,998",
417,2024,"3,535","10,386","25,856", -   ,"43,886","56,408","7,515", -   ,"22,139", -   , -   ,"22,139","23,937","34,269","56,408","232,206",-201872.00,"30,335","3,968","3,830","3,063","34,269", -   
418,2024,"30,686","24,292","98,807", -   ,"176,125","577,312","77,058","328,176","535,991","7,641","7,641","543,632","40,000","33,680","577,312","1,260,819",-1180543.00,"80,276",-871,"1,578","1,578","33,680",
419,2024,"2,715", -   ,"5,778", -   ,"8,560","10,032", -   , -   ,520, -   , -   ,520,"12,300","9,512","10,032", -   , -   , -   ,-397,-397,-397,"9,512",
420,2024,"2,280","2,096","8,861", -   ,"15,534","43,552",441,"24,678","32,006", -   , -   ,"32,006","12,000","11,546","43,552","143,885",-112153.00,"31,732","1,494","1,041",833,"11,546",
421,2024,"7,747","1,931","22,946", -   ,"32,623","72,836","4,313","20,002","34,095", -   , -   ,"34,095","22,600","38,741","72,836","106,578",-96382.00,"10,196","-2,980","-1,857","-1,925","38,741",
422,2024,"48,684","66,351","353,804",216,"474,664","530,995","39,154","99,975","232,164", -   , -   ,"232,164","305,000","298,831","530,995","468,557",-443301.00,"25,256","9,614","9,671","9,671","298,816",
423,2024,"8,380","9,485","16,039", -   ,"34,483","65,388",24, -   ,"6,815", -   , -   ,"6,815","50,300","58,573","65,388","107,621",-96195.00,"11,426",32,21,9,"58,573",
424,2024,727, -   ,"3,901", -   ,"4,628","6,919", -   , -   ,"11,540", -   , -   ,"11,540","12,880","-4,621","6,919",364, -   ,364,-530,-530,-530,"-4,621",
425,2024,98,"1,460","10,317",450,"16,458","76,830","7,434", -   ,"13,735","80,034","80,034","93,769","38,500","-16,939","76,830","39,320",-41188.00,"-1,868","-11,515","-11,607","-11,607","-16,939",
426,2024,"13,299", -   , -   , -   ,"13,300","13,300", -   , -   , -   , -   , -   , -   ,"6,300","13,300","13,300",94,-1109.00,"-1,014","-1,029","-1,097","-1,097","13,300",
427,2024,"1,889",219,"29,000", -   ,"31,315","47,996",8, -   ,"8,038", -   , -   ,"8,038","40,000","39,957","47,996","4,094",-3757.00,337,-7,6,-129,"39,958",
428,2024,"5,872",340,"2,552", -   ,"10,600","22,149","1,936","10,530","21,801", -   , -   ,"21,801","7,000",348,"22,149","23,221",-18404.00,"4,817",221,-46,-46,348,
429,2024,"17,614","5,079","11,452", -   ,"34,515","80,550","2,808", -   ,"19,094", -   , -   ,"19,094","54,600","61,456","80,550","158,851",-123004.00,"35,848","7,711","7,750","6,393","61,456",9
430,2024,658,"33,580",161, -   ,"34,399","37,066","5,902","25,030","34,735", -   , -   ,"34,735","10,000","2,331","37,066","6,394",-5694.00,700,-311,24,24,"2,331",
431,2024,"25,584","24,710","63,742", -   ,"114,085","129,442","4,501","53,852","61,388", -   , -   ,"61,388","88,000","68,054","129,442","212,677",-188626.00,"24,051","6,792","6,791","6,791","68,054",
432,2024,"1,989","4,052","54,370", -   ,"60,512","64,052",240, -   ,"14,890", -   , -   ,"14,890","30,000","49,162","64,052","82,471",-60241.00,"22,230","16,224","16,213","13,278","49,162", -   
433,2024,"49,880","13,378","139,626", -   ,"202,884","257,898","5,992", -   ,"114,562","2,490","3,136","117,699","22,500","140,200","257,898","395,547",-330180.00,"65,367","18,979","29,062","23,927","139,700",
434,2024,"10,460","16,323","58,507",90,"86,592","93,074","12,484","4,656","27,603","50,261","50,261","77,864","15,000","15,210","93,074","215,922",-203484.00,"12,437",271,261,205,"14,142",
435,2024,"5,662","3,994","5,366", -   ,"15,022","87,759","1,086","42,207","51,918", -   , -   ,"51,918","45,000","35,841","87,759","26,077",-12250.00,"13,827","10,124","6,548","6,548","35,841",
436,2024,"26,309","57,492","4,105", -   ,"90,433","142,458","5,429","50,709","57,378","1,350","1,350","58,728","86,000","83,731","142,458","28,410",-24066.00,"4,344","-2,127","-1,866","-1,866","72,740",
437,2024,"26,492","32,052","130,995","3,500","206,305","270,801","31,964","166,372","226,704", -   , -   ,"226,704","50,000","44,098","270,801","410,758",-362421.00,"48,337","-2,735","-4,338","-4,408","43,975",
438,2024,"43,991","1,180,755","1,093,659","80,079","2,404,557","3,035,619","95,439","100,968","545,432","230,926","232,913","778,344","2,100,000","2,257,274","3,035,619","496,826",-414992.00,"81,834","37,524","38,046","29,761","2,256,597",
439,2024,"16,087", -   ,"3,462","52,100","71,884","154,859",49, -   ,"15,830", -   ,"38,634","54,464","25,000","100,395","154,859","51,070",-4397.00,"46,673","25,476","27,282","21,713","100,395", -   
440,2024,"30,790","14,061","7,520", -   ,"52,532","56,104","2,217", -   ,"7,464", -   ,"2,770","10,233","10,600","45,870","56,104","452,986",-436277.00,"16,709","-4,808","6,886","5,433","45,870",
441,2024,"7,322","22,133","5,762","2,000","37,509","84,430","3,392","34,539","43,827","15,870","16,542","60,369","22,700","24,062","84,431","122,740",-105140.00,"17,600","3,557","3,510","2,810","24,061",
442,2024,50,"20,288","145,411", -   ,"165,767","177,585","7,437", -   ,"10,737", -   , -   ,"10,737","171,072","166,848","177,585", -   ,-16707.00,"-16,707","-17,145","-17,457","-17,457","166,848", -   
443,2024,"5,951","6,182","82,805","9,750","111,197","136,017","7,120","105,907","122,221", -   , -   ,"122,221","9,900","13,796","136,017","121,012",-95919.00,"25,093","1,716","1,674","1,674","13,796",
444,2024,346,"43,051","16,623", -   ,"61,039","80,916","9,293","42,284","64,585", -   , -   ,"64,585","50,000","16,331","80,916","84,789",-76304.00,"8,484","-6,990","-7,228","-7,228","15,806",
445,2024,"7,569","8,784","30,871", -   ,"48,064","118,279","8,269","19,241","45,508","14,657","14,657","60,165","41,300","58,115","118,279","173,598",-156719.00,"16,880","12,559","11,604","8,239","58,114",
446,2024,796,382,"9,496", -   ,"10,673","19,639",270, -   ,"4,680", -   , -   ,"4,680","15,000","14,959","19,639","42,417",-37043.00,"5,374","1,845","1,803","1,367","14,959", -   
